id,replied_by_author,parent_comment_id,author,no_of_replies,text,category,"Legend: (blank lang yung replied sticker/image)
1 - Positive response
2 - Negative response
3 - Inquiry
4 - Tagged a person/Shared a link
5- Neutral
6- diff language"
2196073673808423-13,FALSE,2196073673808423-6,Gabriel Delmonte,0,D2 rin sa Samar ginagawa nlang lumber mga nyog sa sobrang baba ng COPRA.,2,
2196073673808423-14,FALSE,2196073673808423-6,Al-Musal Adobo,0,"Johnny Bobadilla its the world market, wag po tayo reklamo agad kung kongi lang alam.",2,
2196073673808423-15,FALSE,2196073673808423-6,Johnny Bobadilla,0,Al-Musal Adobo You probably have other alternative earnings but for people like us who are totally dependent on our farm and with copra at 15 pesos per kilo and palay at 16 pesos per kilo we are also desperate kung papaano kumita at mabawi ang puhunan sa maintenance sa farm so don't tell me na wla o konti lang alam.,2,
2196073673808423-16,FALSE,2196073673808423-6,Junex Buenafe,0,same here in capiz.daming nag stop n copra dahil sobrang baba ng copra dito..the 9-10/kilo lang dito ang buying ng mga copra buyer..15/kilo factory price na yan dito. sana tumaas na ulit sa May hopefully..or else kawawa yung mga coconut farmers dito..,2,
2196073673808423-17,FALSE,2196073673808423-6,Mar Bautista,0,Johnny Bobadilla kung kayo po ay magniniyog wala po dahilan para hindi magreklamo sa nangyayare sobra na po pahirap sa mga coco farmers puro pabor sa mga imported.asap po dapat ang aksyon,2,
2196073673808423-18,FALSE,2196073673808423-6,Da Peymos Lords,0,"I agree with u sir, the low price of copra might break even or worst lugi pa. I strongly opposed about other alternatives for the products of coconut tree other than copra and pag uuling.",1,
2196073673808423-19,FALSE,2196073673808423-6,Villasil Enriquez,0,Johnny Bobadilla iba po kasi ang source of income ni mr.almu kaya ganun lang xa mag react..,,
2196073673808423-20,FALSE,2196073673808423-6,Johnny Bobadilla,0,Villasil Enriquez Kaya nga sir e. Sya adobo ang almusal habang tayo e tuyo.,,
2196073673808423-21,FALSE,2196073673808423-6,Kim Masumbid,0,Johnny Bobadilla tama po kayo😐,,
2196073673808423-22,FALSE,2196073673808423-6,Norberto Villagracia Saulon Jr.,0,Whatever happened to the agreement last December between the Department of Agriculture and the country's oil mills ??  It was published that the oil mill companies agreed to buy at farm gate price of P24.. what happened ??,2,
2196073673808423-23,FALSE,2196073673808423-6,Norberto Villagracia Saulon Jr.,0,Cguro media mileage lang.. papogi points.. wala naman mabuting resulta.. sa halip mas bumaba pa ang presyo ng kopras..,2,
2196073673808423-24,FALSE,2196073673808423-6,Johnny Bobadilla,0,Norberto Villagracia Saulon Jr. My point exactly...they've been giving us false hope with no TANGIBLE results.,2,
2196073673808423-25,FALSE,2196073673808423-6,Agnes Antonio Blanco,0,Johnny Bobadilla korek !,1,
2196073673808423-26,FALSE,2196073673808423-6,Fely Bojo,0,Johnny Bobadilla yong nag sign ng importation ang dikdikin sino ba in charge nyn.,3,
2196073673808423-27,FALSE,2196073673808423-6,Johnny Bobadilla,0,Fely Bojo Para ano at andyan sila di sila ang magiging boses ng magsasaka?,2,
2196073673808423-28,FALSE,2196073673808423-6,Louie Belmil Cuz,0,Al-Musal Adobo its not about wotld market..hinayaan kc ng goberno pumasok ang produkti galing indonesia at malaysia...kung di nila pinayagan.di baba presyo ng oil ntin dahil s pinas lng..kya nmn ito bilhin..marami ng magkokopra ang bibitaw sa pagtatanim ng nyog kung walang gagawin aksyon ang DA.dapat unahin muna kapakanan ng mga pilipino bago pa mga dayuhang nag iimport ng coconut oil,2,
2196073673808423-29,FALSE,2196073673808423-6,Kath Abelo,0,Jay Llera,4,
2196073673808423-30,FALSE,2196073673808423-6,Gerold Sumague Pupa,0,Wala namang pakialam si manny piñol dyan.. alam kaya ito ni presidente? Paano kaya natin maipapaabot ito sa pangulo.,2,
2196073673808423-31,FALSE,2196073673808423-6,Paz Caballegan,0,Louie Belmil Cuz hinayaan ng governo ang ibang bansa s oil importation pa pogi sila.d nila inisep n naghihirap ang mga coco farmers tulad nmin s eastern samar ito lang gbyerno pinahirap lalo ang mahihirap n un lng ang kinabubuhay,2,
2196073673808423-32,FALSE,2196073673808423-6,Johnny Bobadilla,0,Paz Caballegan DA is currently the weakest link sa lahat ng departamento ng govt.,2,
2196073673808423-33,FALSE,2196073673808423-6,Randee Barrido,0,G,1,
2196073673808423-34,FALSE,0,Jeremia Estoesta Dimaculangan,0,Feudalism since middle ages by oligarchs. OGMATIC. GO FED PARLIAMENTARY NOW OR NEVER!,2,
2196073673808423-35,FALSE,0,Catarino Ifurung,0,High time to protect locally produced Coco oil,1,
2196073673808423-36,FALSE,0,Rose Tan,3,"i have been informing people to only use either coconut oil or virgin coconut oil if they want a better health.. hindi po sya mahal.. dahil mas mahal po ang magkasakit ang buong pamilya dahil sa toxic cooking oil na palm oil at canola oil we are feeding our family daily.. even sa mga restaurants they are using palm and canola oil dahil nga po mura.. Pero kung malaman nila and ng publiko how toxic the palma and canola oil are, they will surely only use coconut oil.  DOH should also issue an advisory about this fact.",1,
2196073673808423-37,FALSE,2196073673808423-36,Boe Sison,0,Rose Tan why is palm oil toxic?,3,
2196073673808423-38,FALSE,2196073673808423-36,Rose Tan,0,Boe Sison  http://www.raypeat.com/articles/articles/unsaturated-oils.shtml?fbclid=IwAR2b1OGq1iE1ieqIeqwRVFwgXCz4TNHZr9udk7Di4dnzXO4NwXpubaPbEbs,4,
2196073673808423-39,FALSE,2196073673808423-36,Rose Tan,0,"Boe Sison Kathleen Carley April 16, 2017 ·  Change.org  ·  Palm oil is found in nearly everything we eat.When heated to high temperatures when in frying and such it creates cancer causing substances that we find in our foods. Not only is it responsible to the deforestation of our rainforests in order to plant the Palm Oil, the burning cause the release of carbon that stays in the rainforests for hundreds of years. There is nothing good to be found to our use of this oil. Only harmful side effects. We are losing the habitats of the Orangutan and the Sumatran Tigers and Elephants. Not to mention the abuse to the child labor and other indigenous people.",2,
2196073673808423-40,FALSE,0,Robert Francisco,0,"Its been 5 years which we stopped using palm oil in our household and yung products na binibili namin as much as possible walang palm oil as ingredient. I’m also educating my friends about the dangers of using palm oil both in health and the environment.  So people, if you love your health and wants to contribute for the environmental protection of ecosystems, stop using palm oil!",2,
2196073673808423-41,FALSE,0,Dieter Ziemann,0,ang palm oil dili healthy according to the study here in germany its better coconut oil or vegetable oil,2,
2196073673808423-42,FALSE,0,Lou Batiancila,0,EU used a very shallow reason in imposing ban on palm oil import from malaysia n indonesia.,2,
2196073673808423-43,FALSE,0,Yubs Esperat,0,why di we import when we have enough?,3,
2196073673808423-44,FALSE,0,Lincoln Clough,0,"Sack the president and manny pinol not doing there job, support Philippine farms Sack them !!!",2,
2196073673808423-45,FALSE,0,Jesus V. Bajacan,1,Unless there is an issue on Sanitary and Phytosanitary we cannot prevent the entry of these imported commodities. This is covered under the WTO Agreements and ATIGA ( Asean Trade in Goods Agreement). If there are dumping being happening of these commodities  the country can imposed safeguard duties. The best way to help our farmers is to buy Filipino coco products and other agricultural produce. It is a matter of information dessimination  thru advertisement the departments (DA & DTI) can do.,2,
2196073673808423-46,FALSE,2196073673808423-45,Marie Jane M. Oxemer,0,Jesus V. Bajacan kindly share what are the local coconut brands so we can advocate the purchase of Filipino coco products.,1,
2196073673808423-47,FALSE,0,Paolo Lacandalo,0,Copra price granex plant kiwalan iligan 19.70 pesos,5,Gave info about price of copra in a place in Iligan City
2196073673808423-48,FALSE,0,Judith M Chua,0,and pls stop the importation of coconut from indonesia.it really affects our local price. 😌😌,2,
2196073673808423-49,FALSE,0,Rose Tan,7,Pls ban the importation of Palm Oil  (and Canola oil also).  There are so much researches conducted that it is causing many health problems. We have a very good and healthy coconut oil.. It will help our coconut farmers and improve the health of many Filipinos...,2,
2196073673808423-50,FALSE,2196073673808423-49,Peter Tiu Lavina,0,"Rose Tan Coconut Oil and Palm / Kernel Oil are the same lauric oils. Both are maligned by its competitors Canola Oil, Soya Oil, Corn Oil etc",5,
2196073673808423-51,FALSE,2196073673808423-49,Rose Tan,0,Peter Tiu Lavina http://www.raypeat.com/articles/articles/unsaturated-oils.shtml?fbclid=IwAR1Nk6O0_wlSHxrdF8hnwDH-M7Knr2xJ703_dyXIOirFFo22XAg6IDpKZGA,4,
2196073673808423-52,FALSE,2196073673808423-49,Rose Tan,0,"part of the article --> Q: You say vegetable oils are hazardous to your health. What vegetable oils are you talking about?   Mainly, I'm referring to soybean oil, corn oil, safflower oil, canola, sesame oil, sunflower seed oil, palm oil, and any others that are labeled as ""unsaturated"" or ""polyunsaturated."" Almond oil, which is used in many cosmetics, is very unsaturated.  Chemically, the material that makes these oils very toxic is the polyunsaturated fat itself. These unsaturated oils are found in very high concentrations in many seeds, and in the fats of animals that have eaten a diet containing them. The fresh oils, whether cold pressed or consumed as part of the living plant material, are intrinsically toxic, and it is not any special industrial treatment that makes them toxic. Since these oils occur in other parts of plants at lower concentration, and in the animals which eat the plants, it is impossible to eat a diet which lacks them, unless special foods are prepared in the laboratory.",2,
2196073673808423-53,FALSE,2196073673808423-49,Villasil Enriquez,0,Rose Tan kaso nga maam.di naman sula kikita ng dolyar kung walang import...kung tutuusin tayo dapat ang kumakaan ng nga good harvest galing satin pero ang ginagawa gaya ng bigas pinapalitan ng NFA ang masarap nating ani..,2,
2196073673808423-54,FALSE,2196073673808423-49,Peter Tiu Lavina,0,"Rose Tan Coconut Oil and Palm / Kernel Oil are the same lauric oils. Both are maligned by its competitors Canola Oil, Soya Oil, Corn Oil etc",5,
2196073673808423-55,FALSE,2196073673808423-49,Frecy Dela Cruz,0,Rose Tan its been a long excuse of those in the. Government  they say many imported products that causes over supply as mentiined there are safeguards but what they are doing kibit balikat,2,
2196073673808423-56,FALSE,2196073673808423-49,Rose Tan,0,"Frecy Dela Cruz i agree po.. kaya let's activate our hibernating love towards our farmers.. let's fill our homes with coconut products..  i have been advocating every homes to have following:  VIRGIN COCONUT OIL as this treats a lot of health concerns at para hindi po tumaba..  coconut oil instead of palm oil, canola oil, vegetable oil for cooking, muscovado instead of refined sugar, daily supply of buco juice instead of very unhealthy and expensive milk tea, gatorade, etc.., buco salad as desert instead of unhealthy chocolates, popcorn, etc.... for first aid from poisoning, all homes should have ACTIVATED COCONUT CHARCOAL POWDER.. its not expensive to have all these coconut products.. we can save hundreds of thousands from medical expenses.. this nation will be healthy if we have healthy food products we use at home and in restaurants.. Its our duty to spread the truth to our family and friends and co workers..",1,
2196073673808423-57,FALSE,0,Delfin Mahinay,1,palm oil production is destructive to the environment. stop using palm oil. coconut oil is the best. healthier.,2,
2196073673808423-58,FALSE,2196073673808423-57,Dee Jee Fewthose,0,Delfin Mahinay tama jud ka naa dri dapit sa amoa naay planta perting bahoa ug tae,1,Commenter agreed with previous comment about a factory emitting bad smells
2196073673808423-59,FALSE,0,Rosalinda Macadaeg StaMaria,0,Immediate action should be accorded to DA Sec Pinol’s request,5,
2196073673808423-60,FALSE,0,Vector Fox,2,I do not understand why coconut oil based cooking oil like Minola are so expensive when the material is plentiful in the country. The Philippines is the world's number one/largest producer of coconut oil.,2,
2196073673808423-61,FALSE,2196073673808423-60,Jigs Dolores Ignacio,0,Vector Fox because low sales i presume? govt need to help them market also,3,
2196073673808423-62,FALSE,2196073673808423-60,Jasmin Manuel,0,Minola is under CIIF,5,
2196073673808423-63,FALSE,0,Dencio Jr Almag,0,If we can produce a coconut cooking oil which sells at an equal or lesser price than palm oil then I would be glad to switch. Currently a 5 liter palm oil costs me 381 pesos. I haven't seen a Filipino made coconut cooking oil in the grocery store that I patronize.,2,
2196073673808423-64,FALSE,0,Sherwin Cagas Ongbay,0,"DA now has a big problem,. almost all of the prices of agri products went down... what will happen to us farmers??",3,
2196073673808423-65,FALSE,0,Rene Pamintuan,9,"the MARKETS change every now and then. Those who can quickly see the direction and adapt wins. Those who are laggards cant and lose. Coconut is touted to be a myriad-product crop. Palm Oil is not, and it produces only one :oil. If that were so, something is exceedingly wrong when a crop that can be developed, and is now selling myriads of products worldwide, is unable to empower and create wealth for poor struggling farmers, while its manufacturers gain so much from value-adding. The Palm oil seems to be doing well, even inundating our country with so much volumes, yet the coconut oil is being defeated. Something is truly wrong.",2,
2196073673808423-66,FALSE,2196073673808423-65,Sarah Ledres Musker,0,Rene Pamintuan palm oil is one of the raw materials in food and beauty industry.  We should be adding value to our raw materials.,1,
2196073673808423-67,FALSE,2196073673808423-65,Rene Pamintuan,0,"last i read, the coconut beats many crops in value-adding and food related items manufacturing. But nevertheless, why is it being beaten by palm oil? there are serious problems and inconsitencies to a farming system that allows this to occur. The Philippine agicultural system sucks, and it is hitting the poor farmers worse.",2,
2196073673808423-68,FALSE,2196073673808423-65,Johnny Bobadilla,0,Rene Pamintuan It goes to show that the people from our DA lacks the ability to market and sell the benefits of our coconut products.,2,
2196073673808423-69,FALSE,2196073673808423-65,Ed Libetario,0,"Rene Pamintuan sir. There are big food companies, restaurant chains claiming 100%-Filipino owned corporation. I am not sure whether they are believer/ user of Philippine produced cooking oil or not. Can you share your information regarding this?",2,
2196073673808423-70,FALSE,2196073673808423-65,Gerardo Empleo Suello,0,"Rene Pamintuan our govt lacks foresight! Ngaun lng sila kikilos? Why, why why???Sayang sweldo ng mga consultants s gobyerno ntin!",2,
2196073673808423-71,FALSE,2196073673808423-65,Norberto Villagracia Saulon Jr.,0,Walang kwenta mga nangangasiwa sa agrikultura at coconut industry.. pinapabayaan ang mga magsasaka ng niyog.. nasaan ang suporta ng gobyerno??,2,
2196073673808423-72,FALSE,2196073673808423-65,Frecy Dela Cruz,0,Rene Pamintuan yes it creates weaith but the traders not farmer priducer,2,
2196073673808423-73,FALSE,2196073673808423-65,Rene Pamintuan,0,"The coconuts are priced so low, the competing palm oil price touted as the reason. The selling prices indeed are so low on palm oil most of our restaurants and institutional food processors buy and use palm oil as their number one preference. The PCA, having supported Palm Oil planting in the country, now faces questions of impropriety, and has no answer in what to do with plight of coconut farmers.  Serving two masters competing against each other, and PCA supporting both. Papano na coconut farmers, PCA?",2,
2196073673808423-74,FALSE,2196073673808423-65,Berentac Garcia,0,"Coconut oil will be a pure white. while , Palm oil will be a deep orange-red. Both are products of palm trees but I prepare Coconut oil. (also here in US prepare coconut oil in the kitchen + for medical use",5,
2196073673808423-75,FALSE,0,Jeffrey John Lozano,3,yes! its time to prioritize filipino production first from coco to veg to meat industry pinoy products muna dapat ! minimize or stop agri import now,1,
2196073673808423-76,FALSE,2196073673808423-75,Erwin Ricafort,0,"Jeffrey John Lozano tama po kau. We should patronize our own products. But lets try to put ourselves to d shoe of our minimum wage earner consumers, pumupunta sa supermarket, naghanap ng mantika, nakita coconut product from Philippines at 135.00 per liter. On the other side my imported high quality cooking oil at 90.00 per liter... what u think the customer prefers to buy... by d way sir, do u know that buying price of Copra now is at 15.00 per kilo? But coconut consumer pack oil were sold at 130+ per liter?",1,
2196073673808423-77,FALSE,2196073673808423-75,Cora Ranada,0,Jeffrey John Lozano DA please please lang kawawa sarili nating farmers,2,
2196073673808423-78,FALSE,2196073673808423-75,Jeffrey John Lozano,0,Erwin Ricafort kailangan tlaga na makontrol price from farm gate to supermarkets pero tingin ko inevitable na mas mahal ang fil prod pero thing is kung 5 to 10 pesos na lang diff ng price i would endure ung 10 pesos n lng for the good of the country. Thats just me of course,2,
2196073673808423-79,FALSE,0,Jesse Frank Yu Cheng,0,"Our Coconut Industry can really be called a “Sick Man” that really needs HELP. A lot of HELP actually.  With our Sec Manny at the helm, DA now lead Govt Agency to revive Coco Industry tog with a rejuvenated PCA, COCO stakeholders could finally have a sigh of relieve coming, may not be immediate but current hardworking individuals at DA & PCA, with help from other Govt Agencies ie DOE DTI BOC, solutions shd be forthcoming...   The challenges & circumstances demand immediate responses. Issues are all related & need an integrated & sustainable plan of action based on comprehensive, coherent, inclusive, relevant and visionary LONG TERM PLAN...  Lets all pray for our authorities to have the wisdom & prudence  to make timely & right decisions/actions...",2,
2196073673808423-80,FALSE,0,Joel Aguilon,3,And we are in trouble😊😊😊. Hays 50 yrs old napo ako. Laking mangniniyog. Ngayon lang po to ganito ka grabe.,2,
2196073673808423-81,FALSE,2196073673808423-80,Violet Teves,0,Sa panahon ng papa ko po ser @joel aguilon nakaranas kami ng 5 per kilo at humantong sa pagputol ng lubi😊 pero ang naka worst lang ngayon mattad ang pasahod sa gumagawa ng kopra halos wala ng matira sa may ari....,2,
2196073673808423-82,FALSE,2196073673808423-80,Violet Teves,0,mataas,5,
2196073673808423-83,FALSE,2196073673808423-80,Joel Aguilon,0,Violet Teves parehas tayo ng predicament mam. Nag tanim napo ako ng saging pero 1 yr pa po to. So tiis talaga muna,2,
2196073673808423-84,FALSE,0,Darwin Zabala Aquino,0,D.A. should look for other by products of   coconut copra other than coconut oil,2,
2196073673808423-85,FALSE,0,Eric Badinas,0,Wla nmn ito gngwa aksyon c sir manny piñol.puro papogi.pinapaasa nyo lng kmi mga coconut farmers.,2,
2196073673808423-86,FALSE,0,Ceasar M Morandarte,0,Salamat sa actions sir Manny  God bless Philippines,1,
2196073673808423-87,FALSE,0,Manoy Nonoy,0,its a good move of the government will not import palm oil anymore.,1,
2196073673808423-88,FALSE,0,Romie Sotito,0,correct good solution sir manny,1,
2196073673808423-89,FALSE,0,Genara Malaque Inguito,0,"Who controlled coco Levi fund? The coco farmers are economically in distress, why not release the fund to help the farmers? Whoever politicians or in Congress responsible of holding the release of that coco Levi must not be re-elected in government as in Congress/ senate. Those government workers have no empathy to the coco farmers. They must audited/accounted for where the fund is it standing at this time.",2,
2196073673808423-90,FALSE,0,Mzel Lumawag,0,Paki check po sa carmen north cotabato sir💗salamat po..God bless you 🙏,1,
2196073673808423-91,FALSE,0,Anthony Ramirez,0,In these current situation were copra price is low and other agri raw product these indicate that there is a war behind the scene between the goverment now against the cartel who maninupate farmers product..it's a good sign in disguise that means SiR Manny is doing something good for the benifits of farmers ..lets think positive lang..,1,
2196073673808423-92,FALSE,0,Januario Muelle,0,"Why but imported oil, when the can produce more.",2,
2196073673808423-93,FALSE,0,Reynaldo A. Juan,0,Keep up the good work for your citizens Sec. Pinol!,1,
2196073673808423-94,FALSE,0,Caressa C. Reales-Amarado,0,"Sana e ban na lang all.. we can actually sustain, the farmers need guidance, and security na naay buyer, mahadlok lang gyur usahay mobuhi or motanum ug daghan kay usahay di lage mahalin, and siguro maka export pa ta sa laen countries kung gustohon..",2,
2196073673808423-95,FALSE,0,Joseph Belisario,1,The DA shall totally takeover the management of PCA and replace incompetent field personnel Toto Manny,2,
2196073673808423-96,FALSE,2196073673808423-95,Jasmin Manuel,0,Joseph Belisario Sir PCA is now under DA.,5,
2196073673808423-97,FALSE,0,Reynaldo C. Aniban,0,Daghang Salamat Sec. God bless you always.,1,
2196073673808423-98,FALSE,0,Noel Reymo Cielo Sr,1,"Stop the photo ups start the coco cartels...hawak lahat nga mga negusyantejg intsik ang presyu ng coco products, the Gov. Turn thier blind eyes from the cartel.",2,
2196073673808423-99,FALSE,2196073673808423-98,Noel Reymo Cielo Sr,0,Stop the coco cartel...,2,
2196073673808423-100,FALSE,0,Jey Mangan Libradilla,0,9months of waiting to submit that recco .,5,
2196073673808423-101,FALSE,0,Boy Encabo Bautista,0,Madami ng oil source kaya copra for oil must be diverted to new products.,5,
2196073673808423-102,FALSE,0,Percival Dumanon,0,Jigs Dolores Ignacio...doing for what best? di nyo ma feel 'yan kc d kayo farmer...,2,
2196073673808423-103,FALSE,0,Dondon Gallego,0,"gud am sir, pwede mag retail ng bottled coconut water? from bacolod city.",3,
2196073673808423-104,FALSE,0,Tubod Farmers-Association,0,"Sir MannyPiñol the buying price of 20/kilo when will it be implemented? Because until this hour, CIIF Granex Iligan City Mill Gate price is 19.70/kilo..",2,
2196073673808423-105,FALSE,0,Dennis PK Lainez,0,It has been dumping palm oil 6 years ago. Noticed that the shelves of allsupermarkets are full ofpalm oil!,2,
2196073673808423-106,FALSE,0,Jr Medel,0,https://www.nst.com.my/business/2017/07/258868/msia-targets-philippines-import-more-palm-oil-rubber,4,
2196073673808423-107,FALSE,0,Wil Espenocilla,0,Why president Duterte did not act on oil component to B5. what he need to do is just order the DOE  and this coco farmers problem will be solve,2,
2196073673808423-108,FALSE,0,Lou Batiancila,0,they dump in phils because they know our govt is inutil unlike EU it protects its farmers,2,
2196073673808423-109,FALSE,0,John Buco,0,ECONOMIC SABOTAGE by Malaysia👎👎👎,2,
2196073673808423-110,FALSE,0,Sailun Tires Mindanao,0,Best thing to do is mag resign ka po....u Da is the worst office right.now.,2,
2196073673808423-111,FALSE,0,Rose Tan,0,"http://www.raypeat.com/articles ---> portions of the article says      ""....Coconut oil is unique in its ability to prevent weight-gain or cure obesity, by stimulating metabolism. It is quickly metabolized, and functions in some ways as an antioxidant. ""    ----> "" In general, tropical oils are much more healthful than oils produced in a cold climate. This is because tropical plants live at a temperature that is close to our natural body temperature. Tropical oils are stable at high temperatures. When we eat tropical oils, they don't get rancid in our tissues as the cold-climate seed oils, such as corn oil, safflower oil and soy oil, do. [R.B. Wolf, J. Am. Oil Chem. Soc. 59, 230, 1982; R. Wolfe, Chem 121, Univ. of Oregon, 1986.] When added to a balanced diet, coconut oil slightly lowers the cholesterol level, which is exactly what is expected when a dietary change raises thyroid function. This same increase in thyroid function and metabolic rate explains why people and animals that regularly eat coconut oil are lean, and remarkably free of heart disease and cancer. ""    ----->   ""Coconut oil is the least fattening of all the oils. Pig farmers tried to use it to fatten their animals, but when it was added to the animal feed, coconut oil made the pigs lean [See Encycl. Brit. Book of the Year, 1946]. """,4,
2196073673808423-112,FALSE,0,Hassim Diakem,2,change politics and prices will change too....thats politicizing,2,
2196073673808423-113,FALSE,2196073673808423-112,Erwin Ricafort,0,"Hassim Diakem yes I totally agree with you Sir. Nagtataka lng po ako. Dba gusto ng gov't na magkaroon ng free trade importation sa rice? Para bumaba prices ng commercial rice sa market? Then here comes a good quality cooking oil, a lot cheaper than d current locally produced brands... now gustong tanggalin ng gov't sa Mercado... Ano po ba talaga ang plan mga HONORABLES?",2,
2196073673808423-114,FALSE,2196073673808423-112,Hassim Diakem,0,change ayaw nila kasi barya lang change ...political dynasty at greed kasi e,2,
2196073673808423-115,FALSE,0,Carmelo Condes,0,Pwede b iban yan..eh signatory tyo ng wto d b,2,
2196073673808423-116,FALSE,0,Demar Nacz,0,About time!,1,
2196073673808423-117,FALSE,0,Nelly Pascual,0,***Replied sticker/image***,,
2196073673808423-118,FALSE,0,Marlon Mataac,0,Good job sir piñol,1,
2196073673808423-119,FALSE,0,Remy Ratuie,0,This is soooooo sad,2,
2196073673808423-120,FALSE,0,Glenn Francis Unabia,0,BAN! or taxed them.,2,
2196073673808423-121,FALSE,0,Noel Legaspi Sumanda,0,go go go sec.manny.,1,
2196073673808423-122,FALSE,0,Roel Fsl Ponce,0,Pwerte n jud nmu kaluoy...,2,Felt self-pity
2196073673808423-123,FALSE,0,Manuel Figueras,0,Priority our coco farmers...,1,
2196073673808423-124,FALSE,0,Dodjie Esmas,0,#dosomethingMRsecretaryPINOL!,2,
2196073673808423-125,FALSE,0,Gian Carlo,0,🙈🙉🙊🐒,1,
2196073673808423-126,FALSE,0,James Zamora,0,Hmm!,5,
2196073673808423-127,FALSE,0,Ronald Caña,0,***Replied sticker/image***,,
2196073673808423-128,FALSE,0,Glenn Francis Unabia,0,MannyPiñol instead po na BAN why not levy it para may income,5,
2196073673808423-129,FALSE,0,Eirone Jr H. Artcrouse,0,Great moves Go a head DA MannyPiñol.,1,
2196073673808423-130,FALSE,0,Melodia U. Go,1,Mia Sistoso Montano-Maghanoy,4,
2196073673808423-131,FALSE,2196073673808423-130,Mia Sistoso Montano-Maghanoy,0,Looy kaayu Ang mga Mag uuma te Uyst Huhuhu!,2,Felt pity toward farmers
2196073673808423-132,FALSE,0,Jose Raul Borongan Adasa,0,Reyn Bantilan Galindo,4,
2196073673808423-133,FALSE,0,Nerio Cloma,0,Agree...,1,
2196073673808423-134,FALSE,0,Rose Narzabal,0,Earl Cordero I hope this is not just all talk..,2,
2196073673808423-135,FALSE,0,Belinda Ormegas Villaruel,0,Stevee D. Villaruel,4,
2196073673808423-136,FALSE,0,Mark Redillas,0,Ry Kristufar,4,
2196073673808423-137,FALSE,0,Garry Federico Caba,0,Gaea FelicityJessy Tresvalles Caba,4,
2196073673808423-138,FALSE,0,Badet Sg,0,Duffy Duff,4,
2196073673808423-139,FALSE,0,Bong Martinez Galenzoga,0,Brod Raymond Manago,4,
2196129020469555-1,TRUE,0,Romeo Campos,44,Sir manny Willing po akong mag invest at mag create ng coop for farmers to have storage. Need lang help ng government for training and others needs,1,
2196129020469555-2,FALSE,2196129020469555-1,MannyPiñol,0,Romeo Campos it's actually a profitable business.,1,
2196129020469555-3,FALSE,2196129020469555-1,Romeo Campos,0,Sec MannyPiñol When you will help us to make it possible,3,
2196129020469555-4,FALSE,2196129020469555-1,Naneth Alaba,0,Sir manny laht po tlg bagsak presyo kahit kamatis ngayon binibili lng ng 40 isang box dna po per kilo per box na tlg...hayyy grabe sobra tlg ano nang mangyayari sa ganitong bentahan,2,
2196129020469555-5,FALSE,2196129020469555-1,Cris Consuegra,0,Sir MannyPiñol   San Occidental Mindoro   5  nalang ang Presyo ng Sibuyas kawawa mga farmers hinde maka bayad sa utang,2,
